sku;nombre;cod_barra;;
101065;AVENE AGUA THERMAL 150 ML. SPRAY;3282779003124;;
101067;AVENE LECHE LIMPIADORA 200 ML.;3282779051514;;
101080;AVENE AGUA THERMAL 300 ML.;3282779003131;;
101092;AVENE CICALFATE CR. 40 ML.;3282770204667;;
102270;H&SH. SH. 375 ML. LIMPIEZA RENOV.;7500435020008;;
102292;ALWAYS NOCT. U/F C/ALAS 8 UNID.;7590002012383;;
102419;OLD SP DES B/A PURE 63;20800306584;;
102443;PANTENE AC. 400 ML. L/EXTREMO;7501001165253;;
102445;PANTENE AC. 400 ML. R/DEFINIDOS;7501001165321;;
102451;PANTENE SH. 400 ML. L/EXTREMO;7501001165246;;
102453;PANTENE SH. 400 ML. R/DEFINIDOS;7501001164645;;
1027;SOSTAC 20 MG. 30 COMP.;7800007174185;;
104023;FESEMA LF INH. 200 DOSIS;7800030005449;;
104025;BREXOVENT LF 125 MCG. 120 DOSIS.;7800030005463;;
1045;TONARIL 2 MG. 100 C0MP.;7800007106186;;
1050;TENSOLIV 30 COMP.;7800007152107;;
105002;LECHUGA CR. LATA 150 ML.;7800004029020;;
1052;CONTRALMOR 6 SUPOSITORIOS;7800007110459;;
105277;LECHUGA CR. SOFT 110 ML.;7800004000937;;
1062;GRIFOPARKIN 30 COMP.;7800007103406;;
1064;TROXXIL 1 GR. 4 COMP.;7800007173294;;
1074;MIGRATAM 10 COMP.;7800007172808;;
1076;REHSAL-60 CAJA X 8 SOB.;7800007107824;;
1077;REHSAL-60 30 SOB.;7800007107909;;
108806;PIELARMINA 50 GR. BOLSA TRADICIONAL +1/3 GRATIS;7804907756502;;
1097;FRENALER JBE. 5 MG. 60 ML.;7800007157768;;
11003;CEBION 1000 MG. 10 COMP. EFERV.;7800017052411;;
11010;DOLO NEUROBIONTA 20 COMP.;7501298213699;;
11020;ILIADIN ADULTO SP NASAL 10 ML.;7501298215228;;
11040;NOVOTHYRAL 100 COMP.;4022536866666;;
11084;GLAFORNIL 850 MG. 30 COMP.;3596540010137;;
11085;GLAFORNIL 850 MG. 60 COMP.;3596540010144;;
11101;GLAFORNIL 500 MG. 30 COMP.;3596540040103;;
111020;FASARAX 20 COMP.;7804918400340;;
111021;FASARAX JBE. 120 ML.;7804918400357;;
111022;ALLEDRYL JBE. 60 ML.;7804918401149;;
111049;INFOR 30 CAPS.;7804918400524;;
111053;PRESERVATIVOS LIFESTYLES 3 UN. NUDA;7804918450017;;
111054;PRESERVATIVOS LIFESTYLES 3 UN. STIMULA;7804918450024;;
111055;PRESERVATIVOS LIFESTYLES 3 UN. ROUGH RIDER;7804918450031;;
111056;PRESERVATIVOS LIFESTYLES 3 UN. FORTE;7804918450048;;
111077;MERPAL 100 MG. 8 CAPS.;7804918400777;;
111092;CLARAGINE 16 COMP.;7804918402054;;
111093;TOCALM ADULTO JBE. 100 ML.;7804918402153;;
111094;TOCALM INFANTIL JBE. 100 ML.;7804918402108;;
111096;GASOPAX 24 COMP.;7804918402047;;
111099;CARIAMYL CR. 20 GR.;7804918402399;;
111102;ESCAR T 1% CR. 20 GR.;7804918401040;;
111104;MERPAL GEL 60 GR.;7804918402498;;
111118;MERPAL GTS. 20 ML.;7804918402313;;
111119;BIOGEL SH. 2% 150 ML.;7804918402580;;
111120;PRESERVATIVOS LIFESTYLES 12 UN. FORTE;7804918450055;;
111121;PRESERVATIVOS LIFESTYLES 12 UN. NUDA;7804918450154;;
111122;PRESERVATIVOS LIFESTYLES 12 UN. ROUGH RIDER;7804918450178;;
111123;PRESERVATIVOS LIFESTYLES 12 UN. STIMULA;7804918450161;;
111124;INFOR-E 30 CAPS.;7804918402894;;
111125;RIGOTAX GTS. 15 ML.;7804918402948;;
111126;RIGOTAX JBE. 5 MG/5 ML. 60 ML.;7804918402931;;
111128;RIGOTAX 10 MG. 10 CAPS.;7804918402696;;
111130;CARIAMYL CR. 40 GR.;7804918403037;;
111131;CARIAMYL SPRAY 130 ML.;7804918403013;;
111132;ESCAR T 1% CR. 40 GR.;7804918403020;;
